BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460845.085299,1.01842,0.00240,1.4498,-1.32,0.61,10.51,4470
2460845.085531,1.02494,0.00243,1.4515,-2.25,-2.56,10.18,4395
2460845.085763,1.02517,0.00244,1.4532,-1.82,0.78,11.35,3969
2460845.086006,1.01983,0.00242,1.4549,0.53,-1.16,10.47,4276
2460845.086239,1.01624,0.00239,1.4566,-0.06,-1.02,9.99,5111
2460845.086484,1.01944,0.00240,1.4584,0.99,1.49,9.80,4680
2460845.086716,1.02239,0.00239,1.4601,-0.12,-1.39,9.41,5825
2460845.086948,1.01773,0.00241,1.4619,2.01,-0.33,9.81,5130
2460845.087192,1.01910,0.00241,1.4636,1.00,0.85,11.51,3928
2460845.087424,1.01785,0.00242,1.4653,-0.48,-0.62,11.71,3845
2460845.087660,1.02559,0.00242,1.4671,1.49,-0.18,10.41,4859
2460845.087904,1.01994,0.00241,1.4688,1.86,1.57,10.00,4842
2460845.088135,1.01881,0.00241,1.4706,-1.96,-1.63,11.02,4422
2460845.088367,1.02367,0.00244,1.4724,-4.21,-1.59,12.36,3821
2460845.088612,1.01909,0.00246,1.4742,-1.85,-1.42,12.30,3246
2460845.088844,1.01954,0.00243,1.4759,-0.05,0.99,12.03,3640
2460845.089076,1.02150,0.00244,1.4777,0.17,-0.32,12.31,3610
2460845.089320,1.02194,0.00243,1.4795,-0.39,-0.28,10.64,4440
2460845.089552,1.02017,0.00242,1.4813,0.23,-0.32,9.90,4885
2460845.089795,1.01768,0.00244,1.4831,2.59,0.19,11.70,3863
2460845.090031,1.02361,0.00243,1.4849,1.63,-0.99,10.60,4477
2460845.090263,1.02421,0.00244,1.4868,-0.88,-0.41,10.52,4457
2460845.090506,1.01456,0.00242,1.4886,2.52,-0.37,10.61,4142
2460845.090738,1.02326,0.00244,1.4904,1.11,0.22,11.52,4084
2460845.090970,1.02402,0.00244,1.4923,-3.48,-1.09,10.62,4493
2460845.091213,1.02078,0.00242,1.4941,-1.80,-0.55,10.61,4748
2460845.091446,1.01795,0.00242,1.4959,-0.30,-1.53,10.69,4215
2460845.091689,1.02026,0.00242,1.4978,-0.33,-0.68,10.48,4671
2460845.091921,1.01959,0.00244,1.4997,2.21,0.51,10.63,4490
2460845.092165,1.01671,0.00242,1.5016,-0.31,0.18,10.70,4564
2460845.092394,1.01915,0.00241,1.5034,0.48,-1.01,10.50,4798
