BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460660.753872,0.99850,0.00069,1.3145,-0.67,-0.27,24.23,22682
2460660.754950,1.00029,0.00069,1.3075,1.44,1.18,23.58,25354
2460660.755217,1.00178,0.00068,1.3058,2.06,-0.10,23.05,28056
2460660.755484,1.00131,0.00068,1.3041,0.31,0.59,21.63,33110
2460660.755762,1.00100,0.00068,1.3024,-2.21,-0.38,22.31,31983
2460660.757375,1.00204,0.00068,1.2922,1.95,-0.49,23.58,24111
2460660.758720,1.00135,0.00067,1.2840,-0.33,1.34,24.20,22072
2460660.758987,1.00009,0.00067,1.2824,-2.55,-0.86,22.64,25367
2460660.759266,1.00111,0.00067,1.2808,-1.84,0.52,23.56,23036
2460660.759799,1.00099,0.00067,1.2776,1.37,0.79,24.22,27449
2460660.760065,1.00046,0.00067,1.2760,-0.40,-0.07,22.02,29795
2460660.760332,0.99991,0.00067,1.2744,0.61,-0.04,21.90,29227
2460660.760611,1.00060,0.00067,1.2728,-1.34,0.58,22.69,28966
2460660.760877,1.00231,0.00067,1.2712,-3.06,-0.19,21.77,32119
2460660.761144,1.00093,0.00066,1.2697,-1.32,0.18,21.12,35330
2460660.761411,0.99923,0.00066,1.2681,-1.74,-1.54,22.33,29150
2460660.761678,0.99982,0.00066,1.2666,0.86,0.93,21.51,32798
2460660.761945,1.00086,0.00066,1.2650,2.27,0.12,22.47,29054
2460660.762223,1.00055,0.00066,1.2635,1.32,0.73,22.09,32418
2460660.762490,0.99935,0.00066,1.2620,0.33,-0.03,22.55,27344
2460660.762757,1.00279,0.00066,1.2604,-1.20,0.55,21.07,38453
2460660.763024,1.00052,0.00066,1.2589,-0.79,-0.06,21.48,33246
2460660.763859,0.99877,0.00065,1.2543,-0.92,0.00,21.96,31528
2460660.764126,1.00126,0.00066,1.2528,1.43,-0.32,21.80,29474
2460660.764393,1.00036,0.00065,1.2513,0.57,-0.37,22.19,30964
2460660.764659,1.00041,0.00065,1.2498,-0.02,-0.34,21.28,36045
2460660.764973,1.00027,0.00065,1.2481,0.89,-0.52,22.16,29342
2460660.765251,1.00237,0.00065,1.2467,1.02,0.40,20.72,38443
2460660.765518,0.99768,0.00065,1.2452,-1.10,0.33,21.36,37637
