BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460660.744629,1.00362,0.00107,1.3799,0.09,1.86,24.27,20531
2460660.744942,1.00128,0.00107,1.3775,-0.57,-0.14,21.55,25814
2460660.745098,1.00180,0.00107,1.3763,0.55,1.50,21.46,25029
2460660.745255,0.99982,0.00106,1.3751,-3.10,1.06,22.26,24002
2460660.745411,1.00026,0.00106,1.3739,-1.12,-2.86,24.60,20706
2460660.745561,1.00072,0.00106,1.3728,-2.44,0.89,22.87,20670
2460660.745717,1.00261,0.00107,1.3716,-0.76,-0.24,24.26,20582
2460660.745874,1.00005,0.00106,1.3705,0.06,-0.22,22.05,21180
2460660.746030,1.00336,0.00106,1.3693,0.30,0.53,22.28,25500
2460660.746186,0.99899,0.00105,1.3681,1.11,0.35,21.38,27443
2460660.746343,1.00239,0.00106,1.3670,3.15,1.21,21.67,28137
2460660.746507,1.00065,0.00106,1.3658,1.18,-3.26,23.49,21632
2460660.746664,0.99755,0.00105,1.3646,-1.34,2.03,23.00,21144
2460660.746820,0.99928,0.00105,1.3634,0.56,-0.24,22.45,24580
2460660.746977,1.00100,0.00105,1.3623,0.12,0.73,21.53,23446
2460660.747134,0.99946,0.00105,1.3611,1.48,1.54,22.26,21681
2460660.747290,1.00350,0.00105,1.3600,-0.42,0.52,23.24,19309
2460660.747440,1.00111,0.00105,1.3589,-2.83,1.62,22.21,23458
2460660.747597,1.00115,0.00105,1.3578,1.26,-0.13,24.86,16439
2460660.747911,1.00223,0.00105,1.3555,-0.04,-1.10,22.49,19438
2460660.748060,0.99785,0.00104,1.3544,-0.69,0.84,23.73,18709
2460660.748217,0.99943,0.00104,1.3533,1.44,-1.07,22.73,19728
2460660.748375,0.99781,0.00104,1.3521,0.92,1.88,21.77,23269
2460660.748532,1.00116,0.00104,1.3510,4.30,-1.15,22.52,22649
2460660.748681,0.99966,0.00104,1.3499,2.49,-1.45,21.93,23611
2460660.748838,1.00076,0.00104,1.3488,-0.72,1.11,21.99,27353
2460660.748994,1.00110,0.00104,1.3477,-0.23,-1.10,22.56,22933
2460660.749172,1.00262,0.00104,1.3465,1.50,-1.46,21.03,25987
2460660.749328,1.00113,0.00103,1.3454,-1.63,0.54,21.68,22809
2460660.749485,1.00033,0.00103,1.3442,-0.20,0.63,21.39,23058
2460660.749635,1.00022,0.00103,1.3432,-0.91,0.98,22.70,19583
2460660.749791,0.99927,0.00103,1.3421,-0.34,0.40,23.81,20159
2460660.749948,0.99901,0.00103,1.3410,-0.64,-0.85,23.48,18832
2460660.750104,1.00031,0.00103,1.3399,-1.42,-0.01,22.61,20927
2460660.750260,1.00140,0.00103,1.3388,0.17,-1.48,23.02,19239
2460660.750418,0.99877,0.00102,1.3377,1.38,0.55,21.74,23385
2460660.750575,0.99906,0.00103,1.3366,2.33,-0.66,23.31,19094
2460660.750731,1.00194,0.00103,1.3356,0.68,1.25,22.78,19867
2460660.750881,0.99637,0.00102,1.3345,4.52,-2.05,24.32,17324
2460660.751037,1.00412,0.00102,1.3335,-0.89,0.82,22.21,21618
2460660.751194,0.99914,0.00102,1.3324,2.52,0.28,23.99,19079
2460660.751350,1.00292,0.00103,1.3313,-0.55,0.01,23.87,18825
2460660.751663,1.00268,0.00102,1.3292,-0.37,0.99,23.37,17674
2460660.751976,0.99760,0.00102,1.3271,-1.05,-0.33,23.30,17706
2460660.752125,0.99967,0.00101,1.3260,-1.92,-0.68,22.31,24107
2460660.752296,1.00048,0.00102,1.3249,-0.19,1.15,22.36,20020
2460660.752452,0.99898,0.00101,1.3239,-1.50,-0.10,24.06,19668
2460660.752609,0.99795,0.00101,1.3228,1.03,-0.06,22.09,22630
2460660.752765,1.00159,0.00102,1.3218,0.04,-2.07,23.39,18224
2460660.753078,1.00023,0.00101,1.3197,3.10,-0.54,21.47,23846
2460660.753227,0.99909,0.00101,1.3187,-0.87,0.97,22.18,22543
2460660.753384,0.99874,0.00101,1.3177,1.44,0.76,22.48,20913
2460660.753540,1.00031,0.00101,1.3166,1.21,-2.51,25.12,16516
2460660.753853,0.99703,0.00100,1.3146,-0.19,0.93,23.86,17794
2460660.754002,1.00260,0.00101,1.3136,1.60,-2.26,24.70,16735
2460660.754941,0.99913,0.00100,1.3075,1.53,1.63,23.99,18720
2460660.755090,1.00162,0.00099,1.3066,-0.66,0.93,21.28,26055
2460660.755247,1.00287,0.00100,1.3056,5.17,-0.29,22.92,19288
2460660.755404,1.00263,0.00099,1.3046,1.70,0.27,21.68,23908
2460660.755560,1.00037,0.00099,1.3036,-0.08,0.96,23.53,22453
2460660.755717,1.00023,0.00099,1.3026,0.77,-0.14,22.39,21627
2460660.755873,1.00010,0.00099,1.3016,-1.91,0.55,21.93,23711
2460660.757160,0.99987,0.00099,1.2935,-0.26,-0.32,23.46,18317
2460660.757466,1.00212,0.00098,1.2916,1.25,-0.47,22.66,21339
2460660.757778,0.99938,0.00098,1.2897,1.25,-1.92,23.78,17863
2460660.758091,1.00032,0.00098,1.2878,-1.06,-0.04,22.85,19413
2460660.759669,1.00283,0.00097,1.2783,1.93,0.21,24.24,17253
2460660.759825,1.00261,0.00097,1.2774,1.81,-1.41,22.79,21268
2460660.759981,0.99987,0.00097,1.2764,-1.66,2.00,22.35,22810
2460660.760130,0.99979,0.00097,1.2755,-0.66,0.15,22.28,20922
2460660.760286,1.00157,0.00097,1.2746,1.54,-0.24,22.41,19926
2460660.760443,1.00044,0.00097,1.2737,1.76,-1.61,22.67,19653
2460660.760599,1.00006,0.00096,1.2728,0.49,0.55,22.63,21870
2460660.760756,1.00200,0.00097,1.2719,-0.82,2.13,23.24,18737
2460660.760905,1.00005,0.00096,1.2710,-3.04,-1.30,21.54,25811
2460660.761062,1.00158,0.00096,1.2701,-0.16,0.58,20.69,30122
2460660.761218,1.00146,0.00096,1.2692,-1.19,0.24,22.24,25100
2460660.761375,0.99983,0.00096,1.2683,-0.72,-0.37,22.80,21848
2460660.761525,0.99912,0.00096,1.2674,0.81,-0.67,24.50,20006
2460660.761681,0.99997,0.00096,1.2665,0.99,0.36,21.05,24149
2460660.761838,1.00046,0.00096,1.2656,1.97,-0.74,23.18,18823
2460660.762016,1.00032,0.00096,1.2646,4.34,-1.15,22.38,21815
2460660.762173,0.99935,0.00095,1.2637,2.75,1.52,21.70,24061
2460660.762329,1.00252,0.00096,1.2628,1.44,-0.74,23.00,19085
2460660.762485,0.99866,0.00095,1.2619,0.70,-0.11,23.32,18462
2460660.762642,1.00157,0.00095,1.2610,-1.42,0.06,21.44,24608
2460660.762798,1.00205,0.00095,1.2602,0.81,-0.12,21.14,27671
2460660.762947,0.99927,0.00095,1.2593,-1.06,0.62,21.44,26061
2460660.763103,1.00088,0.00095,1.2584,-0.95,-0.06,23.36,20042
2460660.763260,1.00334,0.00095,1.2575,-2.19,-0.23,22.29,20873
2460660.763416,1.00001,0.00095,1.2567,-1.86,-0.12,21.58,24546
2460660.763573,0.99797,0.00094,1.2558,-1.09,0.80,22.01,22783
2460660.763729,0.99844,0.00094,1.2549,-1.51,-0.70,22.44,21332
2460660.763885,0.99938,0.00094,1.2541,1.19,0.47,22.54,21481
2460660.764042,0.99814,0.00094,1.2532,1.38,0.20,22.20,21781
2460660.764198,1.00107,0.00095,1.2523,4.15,-0.87,22.24,19839
2460660.764354,1.00117,0.00094,1.2515,1.52,0.65,22.19,22421
2460660.764511,0.99955,0.00094,1.2506,-0.67,0.67,21.46,24139
2460660.764667,1.00088,0.00094,1.2497,0.73,-0.05,21.86,23789
2460660.764816,1.00131,0.00094,1.2489,-1.10,-0.18,21.63,23452
2460660.764973,0.99900,0.00094,1.2481,0.90,-0.06,22.98,20344
2460660.765129,1.00107,0.00094,1.2472,2.08,0.27,21.69,25428
2460660.765286,1.00095,0.00094,1.2464,1.03,-0.37,21.29,26381
2460660.765442,0.99836,0.00094,1.2455,-1.68,1.17,21.97,23464
2460660.765598,0.99950,0.00093,1.2447,0.20,-0.46,21.80,26399
2460660.765754,0.99901,0.00094,1.2438,-1.13,-1.00,21.87,23495
2460660.765903,0.99981,0.00093,1.2430,-0.51,-1.10,21.24,29287
2460660.766059,1.00015,0.00093,1.2422,-1.05,1.23,21.58,24139
2460660.766216,0.99944,0.00094,1.2414,2.45,-1.27,22.47,20838
2460660.766372,1.00068,0.00093,1.2405,1.11,-0.19,22.37,20240
2460660.766528,1.00284,0.00093,1.2397,0.02,1.71,21.37,26750
2460660.766685,1.00043,0.00093,1.2389,0.43,-0.30,20.87,28183
2460660.766841,1.00076,0.00093,1.2381,1.06,0.10,22.15,21186
2460660.766998,0.99939,0.00093,1.2372,0.00,0.06,20.75,29911
2460660.767154,0.99714,0.00093,1.2364,-0.06,-0.17,22.06,22109
2460660.767304,0.99996,0.00093,1.2356,0.06,1.22,19.94,32242
2460660.767460,1.00169,0.00093,1.2348,-0.21,0.58,20.90,28388
2460660.767617,1.00134,0.00093,1.2340,-1.38,-0.49,21.55,29367
2460660.767773,0.99820,0.00092,1.2332,-1.58,-0.52,21.14,24749
2460660.767929,0.99993,0.00093,1.2324,-1.94,-0.45,21.73,22669
2460660.768086,0.99806,0.00092,1.2315,-1.42,1.41,21.10,28061
2460660.768243,0.99952,0.00092,1.2307,-0.37,-0.76,20.54,29324
2460660.768392,1.00088,0.00092,1.2299,0.86,0.55,22.66,24771
2460660.768549,0.99989,0.00092,1.2291,1.78,0.46,21.85,21470
2460660.768705,0.99823,0.00092,1.2284,1.57,-1.47,21.53,25329
2460660.768861,1.00159,0.00092,1.2275,-0.11,2.08,20.84,27878
2460660.769018,1.00001,0.00092,1.2268,0.14,0.61,21.77,24318
2460660.769174,0.99807,0.00092,1.2260,0.52,0.94,20.24,31338
2460660.769330,0.99955,0.00092,1.2252,0.46,-0.14,20.26,31290
2460660.769487,1.00138,0.00092,1.2244,0.69,0.02,20.91,28751
2460660.769643,0.99695,0.00091,1.2236,1.09,0.97,21.43,25538
2460660.769793,1.00100,0.00092,1.2228,-0.21,-0.50,20.43,30375
2460660.769949,1.00059,0.00091,1.2220,-1.77,0.76,20.36,32653
2460660.770105,1.00005,0.00091,1.2212,-0.43,-0.62,21.84,24571
2460660.770261,0.99935,0.00091,1.2205,-1.23,0.90,21.93,24957
2460660.770418,0.99970,0.00091,1.2197,-1.52,-1.02,21.19,26835
2460660.770574,0.99815,0.00091,1.2189,2.15,-0.55,21.64,24176
2460660.770723,0.99951,0.00091,1.2182,1.39,0.07,21.17,24186
2460660.770880,0.99611,0.00091,1.2174,2.02,-0.66,21.37,25921
2460660.771036,0.99876,0.00091,1.2166,1.04,1.55,22.23,21906
2460660.771192,0.99967,0.00091,1.2159,1.51,-0.32,21.92,26027
2460660.771348,0.99784,0.00091,1.2151,-0.63,0.55,20.69,31681
2460660.771504,0.99955,0.00091,1.2143,0.05,1.49,22.16,23941
2460660.771661,1.00068,0.00091,1.2136,1.84,-0.04,21.76,22739
2460660.771817,1.00183,0.00091,1.2128,-0.17,-1.15,20.50,30361
2460660.771973,1.00030,0.00090,1.2120,-0.14,0.61,20.39,31259
2460660.772129,1.00014,0.00090,1.2113,-0.53,0.06,20.09,31094
2460660.772285,0.99664,0.00090,1.2105,-0.88,-0.50,20.08,32005
2460660.772434,0.99851,0.00090,1.2098,-1.56,-1.23,20.84,29533
2460660.772591,0.99904,0.00090,1.2090,0.37,0.47,22.22,23001
2460660.772747,0.99962,0.00090,1.2083,-0.67,0.33,21.60,22818
2460660.772903,0.99836,0.00090,1.2075,0.82,-0.72,20.80,26610
2460660.773060,0.99943,0.00090,1.2068,2.28,-0.59,21.73,23355
2460660.773216,1.00168,0.00090,1.2061,1.38,0.29,20.62,29571
2460660.773372,1.00334,0.00090,1.2053,0.34,0.03,21.65,23216
2460660.773528,0.99827,0.00091,1.2046,1.15,-0.53,24.04,16447
2460660.773684,0.99962,0.00090,1.2038,0.41,0.03,22.18,20521
2460660.773833,0.99912,0.00090,1.2031,0.46,-0.26,22.29,21801
2460660.773989,1.00135,0.00090,1.2024,0.20,0.56,21.14,23577
2460660.774146,1.00240,0.00090,1.2017,-0.66,-0.49,22.31,20180
2460660.774302,0.99867,0.00090,1.2009,0.64,0.95,21.84,23126
2460660.774458,0.99948,0.00090,1.2002,-1.46,1.14,22.39,21393
2460660.774615,0.99891,0.00089,1.1995,-1.11,-0.11,21.25,24319
2460660.774771,0.99935,0.00090,1.1987,-0.89,-0.09,22.88,19803
