BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460660.747589,1.00096,0.00111,1.3578,1.40,-0.83,25.88,11790
2460660.747763,1.00102,0.00111,1.3565,0.23,-0.56,26.25,11445
2460660.747937,1.00117,0.00110,1.3552,-0.02,-1.64,25.30,11773
2460660.748122,0.99884,0.00110,1.3540,-0.48,-0.25,25.50,11914
2460660.748296,1.00092,0.00110,1.3527,2.21,0.37,25.03,12054
2460660.748482,1.00102,0.00109,1.3514,3.51,-0.62,23.94,14606
2460660.748656,0.99899,0.00109,1.3501,3.56,-0.77,23.74,14400
2460660.748829,1.00134,0.00108,1.3488,0.38,1.13,22.78,16699
2460660.749015,0.99935,0.00109,1.3476,-0.47,-0.78,23.71,14486
2460660.749189,1.00352,0.00109,1.3463,2.90,-0.78,22.82,16079
2460660.749363,1.00113,0.00109,1.3450,-1.02,0.89,23.11,16470
2460660.749548,1.00023,0.00108,1.3438,-0.18,0.00,23.67,14832
2460660.749722,0.99753,0.00109,1.3425,0.35,0.02,24.17,13741
2460660.749896,1.00175,0.00109,1.3413,-0.63,-0.80,24.91,13112
2460660.750081,1.00200,0.00108,1.3401,-0.58,-0.69,24.68,13137
2460660.750255,1.00227,0.00109,1.3388,-0.06,-0.78,24.94,12490
2460660.750441,0.99971,0.00107,1.3376,1.91,0.51,23.47,15356
2460660.750615,1.00243,0.00109,1.3363,1.98,-0.67,25.33,11603
2460660.750788,1.00117,0.00109,1.3351,3.33,1.03,25.37,11980
2460660.750974,1.00401,0.00108,1.3339,2.38,-1.38,25.67,13034
2460660.751148,1.00116,0.00108,1.3327,2.56,0.42,24.55,12798
2460660.751322,1.00336,0.00108,1.3315,0.28,-0.31,25.30,12916
2460660.751681,1.00310,0.00109,1.3290,0.24,0.89,25.40,11870
2460660.752040,1.00135,0.00108,1.3266,-0.86,-2.17,24.80,12924
2460660.752214,1.00089,0.00107,1.3254,-1.11,-0.10,24.02,14067
2460660.752388,0.99956,0.00107,1.3242,0.03,-0.80,24.83,12704
2460660.752574,0.99905,0.00107,1.3231,1.52,-1.11,24.05,14210
2460660.752747,1.00222,0.00108,1.3219,0.42,-1.83,25.47,11975
2460660.753107,1.00006,0.00106,1.3195,3.96,0.63,23.11,15297
2460660.753281,0.99884,0.00106,1.3183,0.73,0.03,24.55,14361
2460660.753455,0.99769,0.00108,1.3171,0.35,-0.21,26.42,10901
2460660.753640,1.00294,0.00108,1.3160,0.50,0.64,26.16,12179
2460660.753814,0.99818,0.00106,1.3148,-0.44,1.31,25.75,11468
2460660.753999,1.00120,0.00107,1.3136,1.58,-2.04,26.45,11185
2460660.754892,1.00158,0.00106,1.3078,1.59,1.79,26.03,11843
2460660.755066,1.00179,0.00105,1.3067,0.21,1.41,23.45,15882
2460660.755240,1.00147,0.00106,1.3056,5.04,-0.92,24.63,13096
2460660.755426,1.00063,0.00104,1.3044,2.84,0.80,23.51,15228
2460660.755600,1.00023,0.00105,1.3033,0.45,0.09,25.63,14271
2460660.755774,0.99963,0.00104,1.3021,-2.42,-0.71,24.12,15534
2460660.757375,0.99831,0.00105,1.2921,3.33,-0.02,25.26,12029
2460660.757561,0.99819,0.00105,1.2910,2.56,-0.08,25.47,11784
2460660.758094,1.00004,0.00105,1.2878,0.07,0.27,24.99,12379
2460660.758628,0.99943,0.00105,1.2845,1.58,1.32,26.63,11537
2460660.759718,1.00117,0.00104,1.2780,2.75,0.48,26.03,11562
2460660.759904,1.00378,0.00104,1.2769,2.38,0.29,24.62,13537
2460660.760077,1.00110,0.00104,1.2759,1.86,-0.42,24.59,12483
2460660.760251,1.00296,0.00105,1.2748,1.92,-0.74,25.34,11744
2460660.760437,1.00044,0.00104,1.2737,1.91,-1.21,24.01,13519
2460660.760611,0.99938,0.00103,1.2727,0.02,1.36,24.48,14499
2460660.760785,1.00159,0.00103,1.2717,-1.68,1.85,24.37,13657
2460660.760971,1.00090,0.00102,1.2706,-1.99,0.63,23.00,17042
2460660.761144,1.00243,0.00102,1.2696,0.14,1.74,23.12,16414
2460660.761318,1.00002,0.00102,1.2686,-0.51,-0.43,23.86,15456
